host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count
490709958,0,1,0,0,1
444692513,0,1,1,1,5
41736985,0,1,0.86,0,22
208375458,0,1,0.99,1,6
4182067,0,1,,0,6
28407733,0,1,1,0,4
21266818,0,0.8,1,0,19
242361385,1,1,0.63,0,1
486200100,2,0.8,1,0,1
193287876,0,1,1,1,1
202801114,0,1,1,0,4
114555,0,1,0.97,1,2
47427155,0,1,1,1,2
10035468,0,1,0.98,0,40
421387455,0,1,1,1,1
38106741,0,1,0.97,1,3
364730549,1,1,0.94,0,185
88810222,0,1,0.88,0,19
408746164,0,1,1,0,3
492330304,0,1,1,0,1
378859287,0,0.97,0.98,0,33
30603612,0,1,0.98,0,9
495931850,0,0.9,1,0,3
146677483,0,1,1,0,5
497669764,0,1,1,0,1
173896798,0,,1,0,2
466062312,3,0,0,0,2
2220269,0,1,0.92,0,23
13246041,0,1,1,0,1
232146633,0,1,0.92,1,3
99883281,0,1,0.99,1,3
394335457,0,1,1,0,112
20372910,1,0.91,0.25,0,11
428190082,0,,1,0,1
101753163,0,1,1,0,2
257092364,0,0.99,0.95,0,88
487591249,0,1,1,0,1
7124797,0,,,0,1
259327169,1,1,0.97,1,3
455406505,0,1,,0,1
190457689,0,0.96,1,0,6
123481669,1,1,1,0,1
475059650,1,1,1,0,3
448625080,2,0.75,1,0,3
83107409,1,1,1,1,4
746983,2,1,1,0,4
233163395,0,1,0.86,1,5
2275772,1,1,0,0,1
210632612,3,0,1,0,3
234183518,1,0.8,0.96,0,6
267485780,0,1,0.88,1,8
211899887,0,0.89,0.98,0,33
347804353,0,,,0,1
437747310,2,1,1,0,2
497709887,0,1,,0,2
410194448,0,0.97,1,1,42
190375151,0,1,0.98,1,4
454448141,2,1,0.33,0,1
41549995,0,,,0,7
283511617,0,,,0,2
407112149,1,1,1,0,1
428871007,0,1,0.98,0,1
429081729,1,1,1,0,6
91954130,0,1,0.98,1,1
474760371,0,1,1,1,1
129687586,0,0.99,0.93,0,24
405090037,0,1,1,1,4
29234708,1,1,0.88,0,2
436449681,0,0.96,0.86,0,65
9013038,1,1,0.88,1,3
452068461,0,1,0.97,0,18
82375711,0,1,0.96,0,87
178106443,2,0.5,0.92,0,2
452165745,3,0,,0,1
464327438,0,1,0.99,1,5
503728347,0,,1,0,3
15878447,1,1,0.85,1,12
411784904,0,1,0.99,1,2
3377951,1,1,0.97,1,1
413195603,1,0.73,0.93,0,9
364590049,2,1,0.8,0,11
335526324,0,1,0.94,0,29
1519162,0,1,1,1,2
390414536,0,0.69,0.67,0,69
